谭谈交通,武汉大学,WPS,下架,霍乱病例,用户,本地文件,删除,霍乱,斯里兰卡,一例,谭乔,电视台,辞职,安倍,德国,总统,破产,碳中和,广播,环保,遴选,武昌区,2035年,文档
0.0027057,0.723167,0.0,0.0028428,0.6359017,0.0,0.0,0.0,0.4497653,0.0,0.9964789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4611116,0.0,0.0
0.6430276,0.0,0.0,0.6237858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9939024,0.2292711,0.0,0.0,0.0,0.0,0.0,0.0,0.2002494,0.0,0.0,0.0,0.0,0.0
0.6908529,0.0,0.0,0.6461484,0.0,0.0039065,0.0,0.0,0.0,0.0,0.0,0.2292711,0.9954338,0.0104834,0.0064153,0.0,0.0,0.0310429,0.0,0.8967025,0.011374,0.0,0.0,0.0,0.0
0.0078075,0.0,0.0,0.0080817,0.0,0.0,0.0,0.0,0.0,0.9124055,0.0,0.0,0.0104834,0.9940828,0.0425449,0.0,0.89815,0.5511548,0.0,0.011599,0.0,0.0,0.0,0.0,0.0
0.0050774,0.0049361,0.0,0.0052145,0.0051126,0.0,0.0,0.0,0.0,0.0280896,0.0,0.0,0.0064153,0.0425449,0.9917355,0.0,0.0140116,0.0365902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9883721,0.0,0.0,0.9824897,0.0,0.7452431,0.0,0.0,0.9176618,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9567803,0.0,0.0,0.0,0.89815,0.0140116,0.0,0.9942529,0.5797182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0270291,0.0088684,0.0,0.0274403,0.0090449,0.0,0.0,0.0,0.0,0.6025079,0.0,0.0,0.0310429,0.5511548,0.0365902,0.0,0.5797182,0.983871,0.0,0.0218109,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9824897,0.0,0.0,0.9882353,0.0,0.7486631,0.0,0.0,0.922655,0.0
0.6625655,0.0,0.0,0.6041667,0.0,0.0044643,0.0,0.0,0.0,0.0,0.0,0.2002494,0.8967025,0.011599,0.0,0.0,0.0,0.0218109,0.0,0.9943182,0.0,0.0,0.0,0.0,0.0
0.0200722,0.0,0.0,0.0203463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011374,0.0,0.0,0.7452431,0.0,0.0,0.7486631,0.0,0.9818182,0.0,0.0,0.7923833,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767442,0.0,0.0,0.0
0.0,0.5563719,0.0,0.0,0.5555225,0.0,0.0,0.0,0.5780591,0.0,0.4611116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9873418,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9176618,0.0,0.0,0.922655,0.0,0.7923833,0.0,0.0,0.9864865,0.0
0.0,0.0,0.6377671,0.0,0.0,0.6321731,0.640546,0.6330749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9883721
