武汉大学,体征,前一晚,武昌区,数据库,供述,武大,议长,中枪,深陷,动荡,枪击,自卫队,动机,被封,一例,马斯克,封禁,英国首相,亲属,嫌疑,文献,行程,袭击,伤势,服役,知识产权,未果,烂摊子,葬礼,安保,急救,发表声明,仅限,早前,满大街,税收,右转,打印,游行,作案,二战,总理
0.0,0.027912,0.0250071,0.0,0.0,0.0241901,0.0,0.0,0.0402576,0.0,0.9565217,0.0284959,0.0,0.0345596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0501897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425725,0.0,0.0,0.0,0.0,0.0,0.0,0.1217391,0.0,0.0,0.0,0.0,0.0
0.0,0.0517184,0.0701731,0.0,0.0,0.211778,0.0,0.0,0.0758258,0.0259875,0.0284959,0.9864865,0.5414219,0.0783091,0.0,0.0,0.0,0.0,0.0,0.0841699,0.4155405,0.0,0.2123617,0.0429253,0.5618919,0.5525526,0.0,0.5108108,0.0,0.0995733,0.1379505,0.0,0.0,0.0643879,0.0,0.0,0.1734234,0.0,0.0,0.0484234,0.1067568,0.0,0.0186615
0.0,0.027912,0.0,0.0,0.0,0.0967604,0.0,0.0,0.0,0.0,0.0,0.5414219,0.9565217,0.0345596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0501897,0.0,0.626087,0.8417874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1884058,0.0,0.0,0.0,0.1217391,0.0,0.0336439
0.0,0.0,0.0,0.0,0.0,0.5650452,0.0,0.0,0.031339,0.8012821,0.0345596,0.0783091,0.0345596,0.974359,0.0,0.0,0.0,0.0,0.0,0.7047619,0.0753205,0.0,0.0161762,0.7432127,0.065641,0.0,0.0,0.0,0.0,0.6754386,0.0,0.0,0.0,0.6881599,0.0,0.0,0.1794872,0.0,0.0,0.0,0.3384615,0.0,0.0247253
0.0066042,0.0,0.0,0.0,0.861587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947917,0.0,0.0,0.54375,0.0,0.0,0.0,0.6050347,0.0,0.0,0.0,0.0,0.1480655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6217143,0.0,0.0,0.8571429,0.0,0.0,0.6586466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5483591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54375,0.0,0.0,0.975,0.0,0.0,0.0,0.7615741,0.0,0.0,0.0,0.0,0.0839286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0295838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684,0.0,0.0,0.0,0.0296715,0.0,0.0,0.0,0.0,0.0,0.1526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0382206
0.0,0.0,0.1053221,0.0,0.0,0.4853641,0.0,0.0,0.0,0.8043956,0.0,0.0841699,0.0,0.7047619,0.0,0.0,0.0,0.0,0.0,0.9714286,0.0767857,0.0,0.0882071,0.7537815,0.0,0.0,0.0,0.0,0.0,0.9330827,0.0,0.0,0.0,0.9277311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3247549,0.0,0.0,0.0,0.0817308,0.0,0.4155405,0.0,0.0753205,0.0,0.0,0.0,0.0,0.0,0.0767857,0.875,0.0,0.0658557,0.0772059,0.0,0.0,0.0,0.0,0.0,0.0756579,0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1458333,0.0
0.0,0.0,0.0,0.0,0.5818676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6050347,0.0,0.0,0.7615741,0.0,0.0,0.0,0.9814815,0.0,0.0,0.0,0.0,0.2420635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0095285,0.8478309,0.0,0.0,0.0464535,0.0,0.0,0.0218742,0.0,0.0501897,0.2123617,0.0501897,0.0161762,0.0,0.0,0.0,0.0,0.0296715,0.0882071,0.0658557,0.0,0.9932886,0.0180616,0.0,0.0,0.0,0.4802013,0.0,0.0990816,0.2418904,0.4268456,0.0,0.0903079,0.0,0.0,0.1700224,0.0,0.086689,0.0450224,0.1033557,0.086689,0.0152605
0.0,0.0,0.0179739,0.0,0.0,0.5147059,0.0,0.0,0.0332244,0.8144796,0.0,0.0429253,0.0,0.7432127,0.0,0.0,0.0,0.0,0.0,0.7537815,0.0772059,0.0,0.0180616,0.9705882,0.0,0.0,0.0,0.0,0.0,0.7244582,0.0355392,0.0,0.0,0.7352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0523457,0.0,0.0,0.0,0.1122549,0.0,0.0,0.0385185,0.0,0.0,0.5618919,0.626087,0.065641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.7166667,0.0,0.0,0.0,0.0331579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525526,0.8417874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7166667,0.9444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.2200772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1480655,0.0,0.0,0.0839286,0.0,0.0,0.0,0.2420635,0.0,0.0,0.0,0.0,0.8571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5108108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4802013,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1149811,0.0,0.0,0.4682663,0.0,0.0,0.0,0.7773279,0.0,0.0995733,0.0,0.6754386,0.0,0.0,0.0,0.0,0.0,0.9330827,0.0756579,0.0,0.0990816,0.7244582,0.0331579,0.0,0.0,0.0,0.0,0.9736842,0.0,0.0,0.0,0.8916409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2651144,0.0,0.0,0.0698529,0.0,0.0,0.0,0.0,0.0425725,0.1379505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333,0.0,0.2418904,0.0355392,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333,0.0708333,0.0,0.0,0.0,0.0,0.0,0.0,0.1041667,0.0,0.0,0.0,0.0
0.0,0.0,0.4261438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0708333,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7402597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952381,0.0,0.8258929,0.0,0.0,0.0,0.0,0.0654762,0.0,0.0,0.6785714
0.0,0.0,0.1078431,0.0,0.0,0.4632353,0.0,0.0,0.0,0.780543,0.0,0.0643879,0.0,0.6881599,0.0,0.0,0.0,0.0,0.0,0.9277311,0.0,0.0,0.0903079,0.7352941,0.0,0.0,0.0,0.0,0.0,0.8916409,0.0,0.0,0.0,0.9705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6960227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8258929,0.0,0.9375,0.0,0.0,0.0,0.0,0.0729167,0.0,0.0,0.6473214
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.447619
0.0,0.0,0.0,0.0,0.0,0.1691176,0.0,0.0,0.0,0.0,0.0,0.1734234,0.1884058,0.1794872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1700224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.2666667,0.0,0.1785714
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0866013,0.0,0.0,0.2573529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1041667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333,0.0,0.0,0.0,0.0
0.0,0.0,0.0449346,0.0,0.0,0.0,0.0,0.0568182,0.0,0.0,0.0,0.0484234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0450224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0654762,0.0,0.0729167,0.0,0.0,0.0,0.0,0.9166667,0.0,0.0,0.0535714
0.0,0.0,0.0,0.0,0.0,0.4098039,0.0,0.0,0.0,0.0,0.0,0.1067568,0.1217391,0.3384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1033557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.8,0.0,0.1119048
0.0,0.0,0.0866013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1458333,0.0,0.086689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333,0.0
0.0,0.0,0.0,0.0,0.0,0.0143557,0.0,0.7034632,0.0,0.0,0.0,0.0186615,0.0336439,0.0247253,0.0,0.0,0.0,0.0,0.0382206,0.0,0.0,0.0,0.0152605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6785714,0.0,0.6473214,0.447619,0.1785714,0.0,0.0,0.0535714,0.1119048,0.0,0.9761905
